Year,temp_mean,temp_std,co2_mean,co2_std
1403,-0.47268215,0.158446453,280.25,0.239989628
1404,-0.435081958,0.151899048,280.25,0.236811888
1405,-0.400218618,0.145273893,280.25,0.235204618
1406,-0.372469866,0.13913829,280.25,0.232136697
1407,-0.354776583,0.134587623,280.25,0.230867459
1408,-0.344561996,0.131890071,280.25,0.22896199
1409,-0.341098081,0.131706846,280.25,0.227322549
1410,-0.347117658,0.135467027,280.26,0.224088341
1411,-0.361663724,0.14279636,280.26,0.22245774
1412,-0.382310365,0.152646955,280.27,0.219825295
1413,-0.403511132,0.160959638,280.27,0.218396359
1414,-0.420691555,0.165434819,280.28,0.21551559
1415,-0.427221497,0.166996119,280.29,0.212376779
1416,-0.424479463,0.168073172,280.29,0.210656056
1417,-0.419828215,0.16851353,280.3,0.208976583
1418,-0.420899616,0.167899971,280.31,0.208376532
1419,-0.430124184,0.166670897,280.32,0.208156202
1420,-0.443421881,0.166476776,280.33,0.206299597
1421,-0.454548944,0.166939728,280.33,0.206806265
1422,-0.457834357,0.166167901,280.34,0.206227714
1423,-0.449918234,0.162122752,280.35,0.206846556
1424,-0.435412092,0.156465427,280.36,0.208285103
1425,-0.42481881,0.153110469,280.36,0.209253983
1426,-0.42085048,0.15069879,280.37,0.211961056
1427,-0.418780998,0.145241818,280.37,0.212835424
1428,-0.415435317,0.135568998,280.38,0.21591244
1429,-0.408478119,0.122921555,280.38,0.219765715
1430,-0.398609213,0.112434578,280.38,0.222251369
1431,-0.388892131,0.108947396,280.38,0.227549053
1432,-0.383824376,0.112590917,280.38,0.231572827
1433,-0.384270633,0.11975908,280.38,0.237076348
1434,-0.391216315,0.126500611,280.37,0.241865495
1435,-0.406094434,0.130889196,280.36,0.247096122
1436,-0.423606334,0.136549793,280.35,0.254212986
1437,-0.440961036,0.143531337,280.33,0.259039602
1438,-0.456545106,0.149575126,280.31,0.266416414
1439,-0.466051823,0.154252031,280.29,0.275069452
1440,-0.469670441,0.156934109,280.27,0.281362255
1441,-0.469423417,0.158801338,280.24,0.289682615
1442,-0.468414012,0.162036937,280.21,0.299036331
1443,-0.471854319,0.163660114,280.18,0.308351643
1444,-0.484359501,0.16014485,280.15,0.315906241
1445,-0.504714971,0.153955989,280.12,0.325531533
1446,-0.53100595,0.149535436,280.09,0.334089186
1447,-0.558022265,0.152429772,280.06,0.345992831
1448,-0.582231094,0.162261046,280.02,0.356703583
1449,-0.601185029,0.173680766,279.99,0.367326836
